% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
3.866	1	0	26	651.725	0
3.867	1	0	27	766.375	0
3.868	1	0	28	469.111	0
3.869	1	0	29	1011.45	0
3.87	1	0	30	297.547	0
4.161	1	0	1	469.414	0
4.162	1	0	2	5338.45	0
4.163	1	0	3	335.062	0
4.164	1	0	4	598.201	0
4.165	1	0	5	311.327	0
4.166	1	0	6	1312.7	0
4.167	1	0	7	405.495	0
4.168	1	0	8	445.383	0
4.169	1	0	9	510.741	0
4.17	1	0	10	326.601	0
4.171	1	0	11	436.29	0
4.172	1	0	12	4324.87	0
4.173	1	0	13	389.241	0
4.174	1	0	14	5324.99	0
4.175	1	0	15	602.506	0
4.176	1	0	16	333.861	0
4.177	1	0	17	378.266	0
4.178	1	0	18	481.201	0
4.179	1	0	19	1207.34	0
4.18	1	0	20	484.654	0
4.181	1	0	21	2447.5	0
4.182	1	0	22	442.286	0
4.183	1	0	23	410.331	0
4.184	1	0	24	275.405	0
4.185	1	0	25	1062.33	0
4.186	1	0	26	651.725	0
4.187	1	0	27	766.921	0
4.188	1	0	28	467.686	0
4.189	1	0	29	1011.36	0
4.19	1	0	30	296.62	0
4.481	1	0	1	467.551	0
4.482	1	0	2	5341.56	0
4.483	1	0	3	335.921	0
4.484	1	0	4	601.662	0
4.485	1	0	5	311.476	0
4.486	1	0	6	1312.57	0
4.487	1	0	7	405.112	0
4.488	1	0	8	446.128	0
4.489	1	0	9	510.741	0
4.49	1	0	10	322.551	0
4.491	1	0	11	436.396	0
4.492	1	0	12	4324.87	0
4.493	1	0	13	389.597	0
4.494	1	0	14	5324.99	0
4.495	1	0	15	602.506	0
4.496	1	0	16	333.861	0
4.497	1	0	17	378.851	0
4.498	1	0	18	481.201	0
4.499	1	0	19	1202.23	0
4.5	1	0	20	484.654	0
4.501	1	0	21	2444.76	0
4.502	1	0	22	442.102	0
4.503	1	0	23	410.331	0
4.504	1	0	24	275.405	0
4.505	1	0	25	1062.33	0
4.506	1	0	26	651.725	0
4.507	1	0	27	767.442	0
4.508	1	0	28	466.267	0
4.509	1	0	29	1011.26	0
4.51	1	0	30	295.697	0
4.801	1	0	1	465.698	0
4.802	1	0	2	5345.47	0
4.803	1	0	3	335.984	0
4.804	1	0	4	605.147	0
4.805	1	0	5	311.622	0
4.806	1	0	6	1312.44	0
4.807	1	0	7	404.688	0
4.808	1	0	8	446.87	0
4.809	1	0	9	510.741	0
4.81	1	0	10	318.574	0
4.811	1	0	11	436.501	0
4.812	1	0	12	4324.87	0
4.813	1	0	13	389.953	0
4.814	1	0	14	5324.99	0
4.815	1	0	15	602.506	0
4.816	1	0	16	333.861	0
4.817	1	0	17	379.436	0
4.818	1	0	18	481.201	0
4.819	1	0	19	1197.15	0
4.82	1	0	20	484.654	0
4.821	1	0	21	2441.98	0
4.822	1	0	22	441.918	0
4.823	1	0	23	410.331	0
4.824	1	0	24	275.405	0
4.825	1	0	25	1062.33	0
4.826	1	0	26	651.725	0
4.827	1	0	27	767.936	0
4.828	1	0	28	464.854	0
4.829	1	0	29	1011.16	0
4.83	1	0	30	294.778	0
5.121	1	0	1	463.855	0
5.122	1	0	2	5346.89	0
5.123	1	0	3	335.598	0
5.124	1	0	4	608.656	0
5.125	1	0	5	311.766	0
5.126	1	0	6	1312.31	0
5.127	1	0	7	407.489	0
5.128	1	0	8	447.608	0
5.129	1	0	9	510.741	0
5.13	1	0	10	314.669	0
5.131	1	0	11	436.607	0
5.132	1	0	12	4324.87	0
5.133	1	0	13	390.31	0
5.134	1	0	14	5324.99	0
5.135	1	0	15	602.506	0
5.136	1	0	16	333.861	0
5.137	1	0	17	380.024	0
5.138	1	0	18	481.201	0
5.139	1	0	19	1192.11	0
5.14	1	0	20	484.654	0
5.141	1	0	21	2439.13	0
5.142	1	0	22	441.732	0
5.143	1	0	23	410.331	0
5.144	1	0	24	275.405	0
5.145	1	0	25	1062.33	0
5.146	1	0	26	651.725	0
5.147	1	0	27	768.404	0
5.148	1	0	28	463.446	0
5.149	1	0	29	1011.06	0
5.15	1	0	30	293.862	0
5.441	1	0	1	462.022	0
5.442	1	0	2	5318.49	0
5.443	1	0	3	335.192	0
5.444	1	0	4	612.19	0
5.445	1	0	5	311.907	0
5.446	1	0	6	1312.18	0
5.447	1	0	7	410.398	0
5.448	1	0	8	448.342	0
5.449	1	0	9	510.741	0
5.45	1	0	10	310.835	0
5.451	1	0	11	436.713	0
5.452	1	0	12	4324.87	0
5.453	1	0	13	390.668	0
5.454	1	0	14	5325	0
5.455	1	0	15	602.506	0
5.456	1	0	16	333.861	0
5.457	1	0	17	380.612	0
5.458	1	0	18	481.201	0
5.459	1	0	19	1187.09	0
5.46	1	0	20	484.654	0
5.461	1	0	21	2436.24	0
5.462	1	0	22	441.546	0
5.463	1	0	23	410.331	0
5.464	1	0	24	275.405	0
5.465	1	0	25	1062.33	0
5.466	1	0	26	651.725	0
5.467	1	0	27	768.845	0
5.468	1	0	28	462.044	0
5.469	1	0	29	1010.95	0
5.47	1	0	30	292.951	0
5.761	1	0	1	460.198	0
5.762	1	0	2	5317.97	0
5.763	1	0	3	334.765	0
5.764	1	0	4	615.749	0
5.765	1	0	5	312.045	0
5.766	1	0	6	1312.04	0
5.767	1	0	7	413.334	0
5.768	1	0	8	449.073	0
5.769	1	0	9	510.741	0
5.77	1	0	10	310.564	0
5.771	1	0	11	436.819	0
5.772	1	0	12	4324.87	0
5.773	1	0	13	391.026	0
5.774	1	0	14	5325	0
5.775	1	0	15	602.506	0
5.776	1	0	16	333.861	0
5.777	1	0	17	381.201	0
5.778	1	0	18	481.201	0
5.779	1	0	19	1182.1	0
5.78	1	0	20	484.654	0
5.781	1	0	21	2433.29	0
5.782	1	0	22	441.36	0
5.783	1	0	23	410.331	0
5.784	1	0	24	275.405	0
5.785	1	0	25	1062.33	0
5.786	1	0	26	651.725	0
5.787	1	0	27	770.521	0
5.788	1	0	28	460.649	0
5.789	1	0	29	1010.85	0
5.79	1	0	30	292.044	0
6.081	1	0	1	458.384	0
